country_code,admin_level,admin1,admin2,fips,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08
US,2,"Mississippi","Leflore County","28083",3.525,5.559,5.469,4.126,4.166,6.211,5.572,4.144,3.339,3.66,4.667,3.819,4.48,3.452,2.474,3.886,3.106,2.886,2.909,3.478,2.127,1.25,2.518,1.924,2.81,2.636,3.075,2.46,2.06,2.401,2.902,3.302,3.14,2.768,2.021,1.4,2.464,2.063,2.244
US,2,"Mississippi","Lincoln County","28085",8.403,12.161,10.851,10.105,13.248,12.935,13.839,9.438,12.136,11.987,13.159,11.219,13.22,11.956,8.508,11.372,9.092,9.934,9.692,9.039,6.208,4.26,8.012,7.163,6.854,8.097,8.293,6.015,3.924,7.132,7.121,7.675,8.728,8.984,2.778,2.06,6.69,5.948,6.501
US,2,"Mississippi","Lowndes County","28087",8.368,11.247,10.942,11.319,11.541,12.573,11.022,9.19,11.293,10.426,10.739,11.538,11.733,10.018,7.348,10.902,9.609,8.957,9.997,9.789,5.674,2.764,6.404,6.703,7.173,8.159,8.75,5.562,4.251,7.195,6.508,7.62,7.932,8.004,3.015,2.827,6.378,5.681,6.873
US,2,"Mississippi","Madison County","28089",8.389,11.193,11.068,10.062,11.791,12.963,11.49,8.153,11.078,10.744,11.691,11.467,11.396,8.712,5.825,8.59,8.452,7.294,7.363,7.982,5.018,2.673,5.555,5.36,5.631,5.994,6.069,4.39,2.836,5.04,4.893,5.57,6.138,5.984,2.251,1.18,3.935,4.273,4.036
US,2,"Mississippi","Marion County","28091",8.344,12.599,14.356,10.52,14.306,17.966,15.218,9.29,12.19,12.509,11.631,14.883,13.106,10.718,9.695,12.69,10.864,8.974,10.915,10.262,5.971,2.811,10.131,7.435,7.162,7.585,8.895,5.914,4.658,6.73,5.316,6.546,6.456,8.258,2.439,1.367,4.557,5.562,4.783
US,2,"Mississippi","Marshall County","28093",16.66,22.743,22.928,22.876,23.765,27.735,21.357,16.51,21.635,22.822,21.5,21.312,23.923,17.551,12.632,20.018,19.86,18.507,19.844,18.795,13.046,3.951,15.462,13.262,14.356,15.587,16.489,8.824,4.534,13.404,14.982,15.451,16.034,16.206,6.39,4.123,14.656,11.61,13.24
US,2,"Mississippi","Monroe County","28095",10.06,12.928,12.253,11.939,13.695,17.139,19.22,10.235,12.236,12.137,12.64,12.345,14.261,12.386,6.075,10.89,9.129,9.33,8.86,10.196,7.791,3.185,7.218,5.123,7.592,7.448,9.038,5.598,4.714,7.533,7.332,7.735,7.57,7.886,3.0,2.58,5.797,3.945,5.235
US,2,"Mississippi","Montgomery County","28097",16.434,22.621,18.483,18.639,19.615,24.018,15.609,17.879,18.684,22.486,20.462,25.527,22.844,17.024,6.671,15.763,7.894,15.863,17.977,16.638,7.058,2.57,9.938,12.156,14.277,18.123,18.442,7.29,9.838,14.803,14.241,16.584,12.488,11.084,4.158,3.284,8.744,3.993,7.803
US,2,"Mississippi","Neshoba County","28099",11.686,12.958,13.497,11.286,12.139,14.419,13.056,11.898,14.12,13.28,13.388,13.648,13.56,11.565,8.009,11.356,11.364,11.054,11.04,10.792,7.188,4.328,8.824,7.544,8.971,9.042,9.718,8.063,4.753,7.292,6.852,9.384,8.921,9.522,3.838,2.998,7.68,5.771,6.153
US,2,"Mississippi","Newton County","28101",12.45,18.576,18.265,14.3,19.647,25.759,18.463,11.786,20.454,19.249,18.734,21.549,24.162,17.586,11.758,17.749,16.81,15.306,15.907,17.684,10.798,3.835,15.036,13.124,15.469,13.939,16.545,10.837,5.974,12.36,12.336,11.866,12.73,12.438,5.63,2.646,10.679,11.23,10.135
